pedido_id,item_seq,codigo_produto,Qtde,Preco Unit.,Desc Item,Subtotal Item
1,1,4,1,395.51,59.33,336.18
1,2,1,1,205.90,20.59,185.31
1,3,9,1,129.90,0.00,129.90
1,4,8,2,219.91,0.00,439.82
1,5,17,1,298.60,29.86,268.74
2,1,18,4,128.71,51.48,463.36
2,2,14,1,56.91,0.00,56.91
3,1,14,1,56.91,0.00,56.91
3,2,11,1,99.90,0.00,99.90
3,3,9,3,123.41,0.00,370.23
3,4,5,1,159.90,8.00,151.90
3,5,7,3,105.51,47.48,269.05
3,6,13,3,72.00,21.60,194.40
4,1,3,3,551.08,0.00,1653.24
4,2,2,1,321.91,16.10,305.81
5,1,15,3,36.71,0.00,110.13
5,2,12,3,101.11,45.50,257.83
6,1,3,4,599.00,0.00,2396.00
6,2,6,2,92.60,27.78,157.42
6,3,18,1,132.91,0.00,132.91
6,4,8,3,219.91,32.99,626.74
6,5,19,1,75.91,0.00,75.91
7,1,11,2,99.90,0.00,199.80
7,2,7,2,110.31,33.09,187.53
7,3,16,3,154.40,69.48,393.72
7,4,13,4,72.00,28.80,259.20
8,1,12,4,113.20,0.00,452.80
8,2,8,1,219.91,0.00,219.91
8,3,5,4,147.11,58.84,529.60
9,1,13,4,69.90,27.96,251.64
10,1,18,3,123.11,55.40,313.93
10,2,1,1,189.91,0.00,189.91
11,1,6,2,85.41,17.08,153.74
11,2,15,3,35.11,15.80,89.53
11,3,1,2,205.90,0.00,411.80
12,1,6,3,79.11,11.87,225.46
12,2,18,1,123.11,0.00,123.11
12,3,17,2,275.41,0.00,550.82
13,1,19,4,70.31,0.00,281.24
13,2,3,2,616.97,0.00,1233.94
14,1,16,2,137.91,41.37,234.45
14,2,18,4,132.91,79.75,451.89
14,3,6,4,85.41,34.16,307.48
14,4,9,1,129.90,0.00,129.90
14,5,14,1,55.11,0.00,55.11
15,1,19,2,82.30,16.46,148.14
16,1,1,2,175.91,0.00,351.82
16,2,3,3,527.12,0.00,1581.36
17,1,8,2,257.40,77.22,437.58
17,2,9,4,133.80,0.00,535.20
17,3,16,4,149.90,0.00,599.60
17,4,7,1,105.51,15.83,89.68
18,1,12,1,109.90,16.49,93.41
18,2,14,1,52.71,2.64,50.07
18,3,19,1,75.91,0.00,75.91
19,1,7,2,119.90,11.99,227.81
19,2,18,3,128.71,19.31,366.82
20,1,3,1,616.97,0.00,616.97
20,2,15,1,41.10,0.00,41.10
21,1,8,1,249.90,0.00,249.90
21,2,6,1,89.90,4.50,85.40
21,3,14,4,56.91,0.00,227.64
21,4,16,4,149.90,0.00,599.60
21,5,17,3,266.71,0.00,800.13
21,6,4,1,378.31,56.75,321.56
21,7,18,1,132.91,0.00,132.91
22,1,16,1,131.91,0.00,131.91
22,2,17,1,255.11,38.27,216.84
22,3,19,4,73.51,0.00,294.04
22,4,6,2,92.60,18.52,166.68
23,1,2,3,332.41,0.00,997.23
23,2,3,2,569.05,0.00,1138.10
23,3,14,2,59.90,17.97,101.83
23,4,17,4,275.41,0.00,1101.64
24,1,3,3,616.97,0.00,1850.91
24,2,1,1,189.91,0.00,189.91
24,3,15,3,37.91,0.00,113.73
24,4,4,3,429.90,128.97,1160.73
24,5,20,1,195.60,29.34,166.26
24,6,9,3,133.80,60.21,341.19
24,7,17,2,255.11,0.00,510.22
25,1,4,2,442.80,0.00,885.60
26,1,20,2,180.41,54.12,306.70
26,2,7,4,113.91,0.00,455.64
27,1,2,3,321.91,0.00,965.73
27,2,3,4,599.00,239.60,2156.40
27,3,14,1,52.71,0.00,52.71
27,4,9,1,119.51,0.00,119.51
27,5,20,2,195.60,19.56,371.64
27,6,1,1,183.91,0.00,183.91
27,7,6,1,85.41,0.00,85.41
27,8,13,2,64.31,19.29,109.33
28,1,12,4,113.20,45.28,407.52
29,1,5,3,147.11,22.07,419.26
29,2,8,3,229.91,0.00,689.73
29,3,6,4,79.11,0.00,316.44
29,4,18,2,139.90,0.00,279.80
29,5,14,3,59.90,0.00,179.70
29,6,1,2,183.91,0.00,367.82
30,1,7,3,113.91,51.26,290.47
30,2,13,4,72.00,43.20,244.80
30,3,11,3,102.90,0.00,308.70
30,4,9,3,114.31,0.00,342.93
30,5,3,3,616.97,0.00,1850.91
31,1,20,3,189.90,85.46,484.24
32,1,11,3,91.91,0.00,275.73
32,2,14,1,59.90,5.99,53.91
32,3,17,2,298.60,0.00,597.20
32,4,4,1,429.90,64.49,365.41
32,5,13,3,66.41,29.88,169.35
32,6,15,3,35.11,10.53,94.80
32,7,10,4,75.91,0.00,303.64
33,1,10,4,73.51,44.11,249.93
33,2,18,2,139.90,27.98,251.82
33,3,5,3,164.70,24.71,469.39
34,1,1,3,199.90,29.99,569.71
34,2,10,4,79.90,47.94,271.66
34,3,19,4,73.51,44.11,249.93
34,4,7,1,110.31,0.00,110.31
35,1,20,2,180.41,0.00,360.82
35,2,11,1,91.91,0.00,91.91
35,3,3,4,551.08,220.43,1983.89
35,4,8,4,219.91,43.98,835.66
36,1,19,2,73.51,22.05,124.97
36,2,7,1,105.51,5.28,100.23
36,3,13,2,64.31,19.29,109.33
36,4,16,4,154.40,0.00,617.60
36,5,18,2,144.10,0.00,288.20
37,1,5,3,164.70,24.71,469.39
37,2,15,4,41.10,16.44,147.96
37,3,17,2,289.90,86.97,492.83
38,1,16,2,149.90,0.00,299.80
38,2,15,1,39.90,5.99,33.91
38,3,9,2,123.41,0.00,246.82
38,4,8,3,237.41,71.22,641.01
38,5,18,2,123.11,0.00,246.22
38,6,13,4,64.31,38.59,218.65
38,7,19,2,73.51,0.00,147.02
38,8,20,4,189.90,0.00,759.60
39,1,15,4,39.90,15.96,143.64
39,2,14,4,52.71,10.54,200.30
39,3,2,3,307.91,0.00,923.73
39,4,7,4,119.90,47.96,431.64
